LiCl,,,,,,,NaI,,,,,,,
Br Pure,r+50,Br+100,Br+150,Br+200,Br+250 ,,Br Pure,Br+50,Br+100,Br+150,Br+200,Br+250,,
0.002,-0.005,-0.006,-0.005,-0.007,-0.007,,-0.002,-0.005,-0.007,-0.007,-0.007,-0.006,517,
0.001,-0.005,-0.006,-0.005,-0.007,-0.007,,-0.003,-0.006,-0.007,-0.007,-0.007,-0.006,517.5,
0,-0.005,-0.006,-0.005,-0.007,-0.007,,-0.003,-0.006,-0.007,-0.007,-0.007,-0.006,518,
-0.001,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.004,-0.006,-0.007,-0.007,-0.007,-0.006,518.5,
-0.001,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.004,-0.006,-0.007,-0.007,-0.007,-0.006,519,
-0.002,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.004,-0.006,-0.007,-0.007,-0.007,-0.006,519.5,
-0.002,-0.006,-0.006,-0.005,-0.008,-0.008,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,520,
-0.003,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,520.5,
-0.003,-0.006,-0.006,-0.005,-0.007,-0.008,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,521,
-0.003,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,521.5,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,522,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,522.5,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,523,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.005,-0.006,-0.007,-0.007,-0.007,-0.006,523.5,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.006,524,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.006,524.5,
-0.004,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.006,525,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.006,525.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.005,526,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,526.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,527,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.005,527.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.005,528,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.007,-0.007,-0.005,528.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,529,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,529.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,530,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,530.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,531,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,531.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.007,-0.005,532,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,532.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,533,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,533.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,534,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.004,534.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.004,535,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.004,535.5,
-0.005,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.004,536,
-0.005,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,536.5,
-0.005,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,537,
-0.005,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,537.5,
-0.005,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,538,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,538.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,539,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,539.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,540,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,540.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,541,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,541.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,542,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,542.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,543,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.005,543.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.006,544,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.006,544.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.006,-0.006,-0.006,545,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.005,-0.006,-0.005,545.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.006,-0.006,-0.007,-0.005,-0.006,-0.006,546,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,546.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,547,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,547.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,548,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,548.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,549,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.005,-0.006,-0.006,549.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,550,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,550.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,551,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,551.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,552,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,552.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,553,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,553.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,554,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,554.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,555,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,555.5,
-0.006,-0.007,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,556,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,556.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,557,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,557.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,558,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,558.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,559,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,559.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,560,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.006,560.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,561,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,561.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,562,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,562.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,563,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,563.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,564,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,564.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,565,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,565.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,566,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.004,566.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.004,567,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,567.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.005,-0.004,568,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.004,568.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,569,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.007,-0.006,-0.006,-0.005,569.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,570,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,570.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,571,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,571.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,572,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,572.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,573,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,573.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,574,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,574.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,575,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.006,-0.006,-0.005,575.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,576,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,576.5,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,577,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,577.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,578,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,578.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,579,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,579.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,580,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,580.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,581,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,581.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,582,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,582.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,583,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,583.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,584,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,584.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,585,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,585.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,586,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.005,-0.005,-0.006,-0.005,586.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,587,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,587.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,588,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,588.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,589,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,589.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,590,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,590.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,591,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,591.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,592,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,592.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,593,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,593.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,594,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,594.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,595,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,595.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,596,
-0.005,-0.006,-0.005,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,596.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,597,
-0.006,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,597.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,598,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.007,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,598.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,599,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,599.5,
-0.005,-0.006,-0.006,-0.005,-0.007,-0.006,,-0.007,-0.006,-0.006,-0.005,-0.006,-0.005,600,
