0.121,0.176,0.04,0.067,0.124,0.009,0.001,445
0.124,0.18,0.041,0.069,0.125,0.009,0.001,445.5
0.126,0.183,0.042,0.07,0.127,0.01,0.001,446
0.129,0.186,0.043,0.072,0.129,0.01,0.001,446.5
0.131,0.189,0.044,0.073,0.13,0.01,0.001,447
0.134,0.193,0.045,0.075,0.132,0.01,0.001,447.5
0.136,0.196,0.046,0.076,0.133,0.01,0.001,448
0.139,0.199,0.047,0.078,0.135,0.01,0.001,448.5
0.141,0.203,0.048,0.079,0.136,0.01,0.001,449
0.144,0.206,0.049,0.08,0.137,0.01,0.001,449.5
0.146,0.209,0.05,0.082,0.139,0.011,0.001,450
0.149,0.212,0.051,0.083,0.14,0.011,0.001,450.5
0.152,0.216,0.052,0.085,0.142,0.011,0.001,451
0.155,0.219,0.053,0.086,0.144,0.011,0.001,451.5
0.157,0.223,0.053,0.087,0.145,0.011,0.001,452
0.16,0.226,0.054,0.089,0.147,0.011,0.001,452.5
0.163,0.229,0.055,0.09,0.148,0.011,0.001,453
0.165,0.233,0.056,0.092,0.15,0.012,0.001,453.5
0.168,0.236,0.057,0.093,0.151,0.011,0.001,454
0.171,0.24,0.058,0.095,0.152,0.012,0.001,454.5
0.174,0.243,0.059,0.096,0.154,0.012,0.001,455
0.177,0.246,0.06,0.098,0.155,0.012,0.002,455.5
0.179,0.25,0.06,0.099,0.157,0.012,0.001,456
0.182,0.253,0.061,0.1,0.158,0.012,0.001,456.5
0.185,0.256,0.062,0.101,0.159,0.012,0.001,457
0.187,0.259,0.064,0.103,0.16,0.012,0.001,457.5
0.19,0.262,0.064,0.104,0.161,0.013,0.001,458
0.193,0.266,0.065,0.105,0.163,0.013,0.001,458.5
0.196,0.269,0.066,0.106,0.164,0.013,0.002,459
0.199,0.272,0.067,0.108,0.165,0.013,0.002,459.5
0.201,0.275,0.068,0.109,0.166,0.013,0.002,460
0.204,0.279,0.069,0.11,0.167,0.013,0.002,460.5
0.207,0.282,0.069,0.111,0.168,0.013,0.002,461
0.209,0.285,0.07,0.112,0.169,0.013,0.002,461.5
